step,time,y,delta,Fy,static_Fy,rel_err
1,0.005,0.059877375000000004,0.0,0.0,0.0,0.0
2,0.01,0.05950950000000001,0.0,0.0,0.0,0.0
3,0.015,0.05889637500000001,0.0,0.0,0.0,0.0
4,0.02,0.058038000000000006,0.0,0.0,0.0,0.0
5,0.025,0.05693437500000001,0.0,0.0,0.0,0.0
6,0.03,0.05558550000000001,0.0,0.0,0.0,0.0
7,0.035,0.05399137500000001,0.0,0.0,0.0,0.0
8,0.04,0.05215200000000001,0.0,0.0,0.0,0.0
9,0.045,0.05006737500000001,0.0,0.0,0.0,0.0
10,0.05,0.04785648800810286,0.0021435119918971415,0.35139259829999997,1.286107195138285,0.7267781413335321
