step,time,y,delta,Fy,static_Fy,rel_err,elapsed
1,0.005,0.139877375,0.0,0.0,0.0,0.0,0.01198267936706543
2,0.01,0.1395095,0.0,0.0,0.0,0.0,0.01486659049987793
3,0.015,0.13889637500000002,0.0,0.0,0.0,0.0,0.00578618049621582
4,0.02,0.13803800000000002,0.0,0.0,0.0,0.0,0.005717277526855469
5,0.025,0.13693437500000002,0.0,0.0,0.0,0.0,0.006398677825927734
6,0.03,0.13558550000000003,0.0,0.0,0.0,0.0,0.00577092170715332
7,0.035,0.13399137500000002,0.0,0.0,0.0,0.0,0.006201505661010742
8,0.04,0.13215200000000002,0.0,0.0,0.0,0.0,0.006330966949462891
9,0.045,0.130067375,0.0,0.0,0.0,0.0,0.006142616271972656
10,0.05,0.1277375,0.0,0.0,0.0,0.0,0.006845951080322266
11,0.055,0.125162375,0.0,0.0,0.0,0.0,0.006555318832397461
12,0.06,0.12234199999999999,0.0,0.0,0.0,0.0,0.005662202835083008
13,0.065,0.11927637499999999,0.0007236250000000055,0.0,0.003940164909717219,1.0,0.03618454933166504
14,0.07,0.11596549999999999,0.00403450000000001,0.0,0.12135172709424648,1.0,0.1499021053314209
15,0.075,0.11242790591057347,0.007572094089426523,0.33749254482588004,0.423214858296208,0.2025503400694191,9.603079319000244
16,0.08,0.10885307476993121,0.011146925230068785,0.8901949884854402,0.9078442450788333,0.019440842070723847,2.232208728790283
17,0.085,0.10549030868961688,0.014509691310383113,1.5420809626171206,1.523389048821885,0.012269954158913582,2.1892614364624023
