time,x,y,vx,vy,delta,contact_active,Fy,F_lateral_norm,body_moment_norm,ground_Mz,static_Fy_at_delta,static_ground_Mz_at_delta,total_energy,energy_minus_initial,x_ref,solver_final_residual_norm,solver_newton_iters
0.005,0.0,0.05975475000049049,0.0,-0.049049999901902,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029369852437500007,-6.014756249999795e-05,0.0,4.9048998369827235e-12,2
0.01,0.0,0.059264250001471494,0.0,-0.09809999980379974,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029309704874759406,-0.00012029512524059857,0.0,4.905113207970269e-12,2
0.015,0.0,0.058528500002943004,0.0,-0.14714999970569748,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029249557311778213,-0.00018044268822179146,0.0,4.905113207970269e-12,2
0.02,0.0,0.05754750000490499,0.0,-0.19619999960760373,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02918940974855649,-0.00024059025144351417,0.0,4.904687333356916e-12,2
0.025,0.0,0.05632125000735744,0.0,-0.24524999950950999,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029129262185094193,-0.0003007378149058118,0.0,4.904687333356916e-12,2
0.03,0.0,0.054849750010300354,0.0,-0.29429999941141627,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029069114621391317,-0.00036088537860868783,0.0,4.904686032314309e-12,2
0.035,0.0,0.05313300001373374,0.0,-0.34334999931332255,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02900896705744787,-0.0004210329425521353,0.0,4.904686032314309e-12,2
0.04,0.0,0.0511710000176576,0.0,-0.39239999921522883,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.028948819493263844,-0.00048118050673616117,0.0,4.904686032314309e-12,2
0.045,1.122440025122361e-22,0.04915347574784702,2.2448800502447218e-20,-0.40350485396211466,0.0008465242521529803,1,0.37945144685362503,3.1610994938690785e-19,2.168404344971009e-19,-2.168404344971009e-19,0.5079145512917882,0.0,0.028395165026438605,-0.0010348349735614,0.0,2.838758362492394e-11,2
0.05,-9.538814856377755e-21,0.0474331344314673,-1.9302117717779983e-18,-0.3440682632759444,0.0025668655685327016,1,1.1154254135985004,2.0124722808300925e-17,9.69739903612216e-19,4.336808689942018e-19,1.540119341119621,0.0,0.02820216633755344,-0.001227833662446564,0.0,0.00015279753368398945,2
0.055,-1.666868069062483e-19,0.04625803180740743,-3.1429598409974114e-17,-0.23502052481197477,0.003741968192592572,1,1.642374744037876,3.093966618683217e-16,7.85429459156923e-18,2.168404344971009e-18,2.2451809155555433,0.0,0.0282711285649181,-0.0011588714350819034,0.0,0.0003069867969908973,2
0.06,-1.9550041698231562e-19,0.04573741413909682,-5.762722015213459e-18,-0.10412353366212208,0.004262585860903181,1,1.8917506274276257,2.70508460956438e-16,1.474514954580286e-17,1.3877787807814457e-17,2.557551516541909,0.0,0.028156135858255688,-0.0012738641417443172,0.0,0.0004614035796454922,2
0.065,1.6650772635588006e-19,0.04584017791833836,7.240162866763913e-17,0.020552755848307958,0.004159822081661643,1,1.8295070565105003,8.28284919176753e-16,3.904091437261954e-17,2.6020852139652106e-18,2.495893248996986,0.0,0.027686403588592912,-0.0017435964114070925,0.0,0.00046122080703099935,2
0.07,1.1025561539207438e-18,0.046441606004958384,1.8720968551297273e-16,0.12028561732400478,0.0035583939950416185,1,1.5798593148356255,1.2195309865598659e-15,5.681219383824043e-17,3.903127820947816e-18,2.135036397024971,0.0,0.02693997383599199,-0.002490026164008015,0.0,0.0004601535003932863,2
0.075,2.6434716916682205e-18,0.047355663983833195,3.081831075494954e-16,0.18281159577496223,0.002644336016166808,1,1.1768974023195011,1.2760934169169377e-15,5.377642775528102e-17,1.0408340855860843e-17,1.5866016097000848,0.0,0.026161209062733972,-0.0032687909372660327,0.0,0.0003056880890496328,2
0.08,4.661644160757301e-18,0.048367024784754235,4.0363449381781605e-16,0.2022721601842082,0.0016329752152457674,1,0.7155547513155004,9.970537370654343e-16,4.7488055154865094e-17,6.505213034913027e-19,0.9797851291474604,0.0,0.02554685874264369,-0.0038831412573563165,0.0,0.00015224553611520254,2
0.085,6.950970476854363e-18,0.049292418911916415,4.578652632194124e-16,0.1850788254324353,0.0007075810880835878,1,0.3185666538120001,5.425057424887568e-16,2.6889088220015432e-17,-1.5178830414797062e-18,0.4245486528501527,0.0,0.025184487065745314,-0.004245512934254691,0.0,6.6486451760772186e-12,2
0.09,9.255511444510345e-18,0.0499801276207809,4.609081935311963e-16,0.1375417417728965,1.9872379219104674e-05,1,0.01512916906500001,3.0447689121757583e-17,1.517943542627327e-18,-1.2197274440461925e-19,0.011923427531462805,0.0,0.024988314339677832,-0.004441685660322173,0.0,2.8301941085856486e-11,2
0.095,1.1560052412166325e-17,0.05042258633013585,4.609081935311963e-16,0.08849174187099024,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.024928048304415685,-0.00450195169558432,0.0,4.904687333356916e-12,2
0.1,1.3864593379822306e-17,0.05061979503998131,4.609081935311963e-16,0.03944174196909249,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.024867900742349746,-0.004562099257650259,0.0,4.9051127742894e-12,2
0.105,1.6169134347478287e-17,0.050571753750317285,4.609081935311963e-16,-0.009608257932805259,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.024807753180043215,-0.00462224681995679,0.0,4.9051127742894e-12,2
