time,x,y,vx,vy,delta,contact_active,Fy,F_lateral_norm,body_moment_norm,ground_Mz,static_Fy_at_delta,static_ground_Mz_at_delta,total_energy,energy_minus_initial,x_ref,solver_final_residual_norm,solver_newton_iters
0.005,0.04,0.13975475000049048,0.0,-0.049049999901902,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06860985243750001,-6.014756249998754e-05,0.04,4.9048998369827235e-12,2
0.01,0.04,0.13926425000147147,0.0,-0.09809999980379974,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06854970487475939,-0.00012029512524060204,0.04,4.905113207970269e-12,2
0.015,0.04,0.13852850000294298,0.0,-0.14714999970569748,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0684895573117782,-0.000180442688221788,0.04,4.905113207970269e-12,2
0.02,0.04,0.13754750000490495,0.0,-0.19619999960760373,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06842940974855648,-0.00024059025144351764,0.04,4.904687333356916e-12,2
0.025,0.04,0.1363212500073574,0.0,-0.24524999950950999,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06836926218509418,-0.00030073781490581875,0.04,4.904687333356916e-12,2
0.03,0.04,0.1348497500103003,0.0,-0.29429999941141627,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0683091146213913,-0.0003608853786086913,0.04,4.904686032314309e-12,2
0.035,0.04,0.13313300001373368,0.0,-0.34334999931332255,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06824896705744785,-0.0004210329425521492,0.04,4.904686032314309e-12,2
0.04,0.04,0.13117100001765752,0.0,-0.39239999921522883,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06818881949326382,-0.0004811805067361785,0.04,4.904686032314309e-12,2
0.045,0.04,0.12896375002207186,0.0,-0.4414499991171351,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06812867192883922,-0.0005413280711607793,0.04,4.904686032314309e-12,2
0.05,0.04,0.12651125002697666,0.0,-0.4904999990190414,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06806852436417404,-0.0006014756358259515,0.04,4.904686032314309e-12,2
0.055,0.04,0.12381350003237192,0.0,-0.5395499989209477,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0680083767992683,-0.0006616232007316952,0.04,4.904686032314309e-12,2
0.06,0.04,0.12087050003825765,0.0,-0.588599998822854,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06794822923412197,-0.0007217707658780242,0.04,4.904686032314309e-12,2
0.065,0.04,0.11768225004463385,0.0,-0.6376499987247602,0.0023177499553661413,0,0.0,0.0,0.0,0.0,0.04024289034286491,-0.0016097156137145966,0.06791922302122315,-0.0007507769787768459,0.04,4.904686032314309e-12,2
0.07,0.04,0.11424875005150052,0.0,-0.6866999986266665,0.005751249948499473,0,0.0,0.0,0.0,0.0,0.24540953070401386,-0.009816381228160555,0.06830031414939473,-0.0003696858506052614,0.04,4.904686032314309e-12,2
0.075,0.04,0.11086155721355312,-3.26786217129107e-18,-0.6774385675894815,0.009138442786446876,1,0.5831143106961602,1.3985787785349405e-17,1.1677214766175423e-18,-0.023324572427846406,0.6136755132932554,-0.024547020531730218,0.06773218744198163,-0.0009378125580183638,0.04,1.6215495200928908e-12,2
0.08,0.04,0.10777779800962185,-3.9474220801455866e-17,-0.6167518407862539,0.012222201990378143,1,1.1011296708432001,1.6251463649245613e-17,3.2922321604878893e-18,-0.04404518683372802,1.0880763747906186,-0.043523054991624746,0.06684642426897253,-0.0018235757310274686,0.04,1.8812014054619443e-05,2
0.085,0.04,0.10523900541791482,-7.133841189554596e-17,-0.5077585183414067,0.014760994582085171,1,1.5931070978284803,1.1383606512641281e-17,2.4538683363390074e-18,-0.06372428391313922,1.5754684557888352,-0.0630187382315534,0.06589988612572936,-0.0027701138742706327,0.04,6.336936690004309e-05,2
0.09,0.04,0.10342219438569179,-1.8735023222356e-16,-0.36336220644460504,0.016577805614308203,1,1.94978558225664,4.654751537338637e-17,3.99916682909159e-18,-0.07799142329026561,1.9767013480916678,-0.07906805392366671,0.06508433352627106,-0.0035856664737289323,0.04,7.661231644311411e-05,2
0.095,0.04,0.10248296973369621,-1.9055947012848314e-16,-0.18784493039911754,0.017517030266303787,1,2.127749401368,6.191772198285271e-17,1.6126937871754548e-18,-0.08510997605472,2.2009924613077505,-0.08803969845231002,0.0641659877090708,-0.004504012290929199,0.04,0.0005896167954343758,2
0.1,0.04,0.10236863588889893,-6.536748041783297e-17,-0.022866768959457304,0.01763136411110107,1,2.1531053598508803,6.648767611728002e-17,3.3103694787048736e-18,-0.0861242143940352,2.229073632507003,-0.08916294530028011,0.06349408788084691,-0.005175912119153081,0.04,6.41187272713891e-05,2
0.105,0.04,0.1030156218398792,-1.338906998330338e-16,0.12939719019605364,0.0169843781601208,1,2.0297665399320004,4.023661093457698e-17,5.971545513195337e-18,-0.08119066159728003,2.0723915597702502,-0.08289566239081002,0.06282575054801834,-0.005844249451981656,0.04,8.313474188445524e-05,2
0.11,0.04,0.10429842470987145,1.0051888498112445e-17,0.2565605739984504,0.01570157529012854,1,1.77485682101472,2.7428386473255476e-17,5.222490562457162e-18,-0.07099427284058879,1.7777885358605163,-0.07111154143442065,0.06221473813268294,-0.006455261867317055,0.04,6.361491495376296e-05,2
0.115,0.04,0.10604777160274173,6.943581259433885e-17,0.34986937857405487,0.013952228397258265,1,1.4362197142392001,3.258383798239075e-17,2.072960813962658e-18,-0.05744878856956802,1.4108531904656394,-0.056434127618625575,0.06170429993296343,-0.006965700067036562,0.04,6.315834241577695e-05,2
0.12,0.04,0.10807044745422498,3.6265739854510924e-17,0.4045351702966483,0.011929552545775018,1,1.0434209523897602,1.8184885778396464e-17,3.0904591112291332e-18,-0.04173683809559041,1.0374664806595202,-0.04149865922638081,0.06126062445215575,-0.007409375547844245,0.04,3.131517581912843e-05,2
0.125,0.04,0.11017937945818324,3.127031587752845e-17,0.4217864007916524,0.00982062054181676,1,0.6630123053721602,6.938893903907228e-18,4.345270763724971e-19,-0.026520492214886407,0.707338087464288,-0.02829352349857152,0.06082231375432118,-0.007847686245678817,0.04,2.110595552495833e-12,2
0.13,0.04,0.11225475238393119,2.8790226342259444e-17,0.41507458514959045,0.007745247616068804,1,0.4233818430215999,3.576224061345498e-18,4.84869951806108e-19,-0.016935273720864,0.4425741950576215,-0.01770296780230486,0.060517025254147504,-0.008152974745852491,0.04,2.7889021387422807e-12,2
0.135,0.04,0.11408487531016961,2.8790226342259444e-17,0.3660245852476842,0.005915124689830381,0,0.0,0.0,0.0,0.0,0.2594739706720695,-0.01037895882688278,0.05982172487622478,-0.008848275123775215,0.04,4.904688634399523e-12,2
0.14,0.04,0.1156697482368985,2.8790226342259444e-17,0.31697458534577794,0.004330251763101492,0,0.0,0.0,0.0,0.0,0.13967923105276314,-0.0055871692421105255,0.05945006277927996,-0.009219937220720037,0.04,4.904686032314309e-12,2
0.145,0.04,0.11700937116411786,2.8790226342259444e-17,0.26792458544387165,0.0029906288358821365,0,0.0,0.0,0.0,0.0,0.06687491803266525,-0.00267499672130661,0.05925449177605958,-0.009415508223940418,0.04,4.904686032314309e-12,2
