time,x,y,vx,vy,omega_x,omega_y,omega_z,delta,contact_active,Fy,F_lateral_norm,body_moment_norm,ground_Mz,static_Fy_at_delta,static_ground_Mz_at_delta,total_energy,energy_minus_initial,x_ref,num_pair_patch_points,num_pair_sheet_points,num_pair_tractions,solver_final_residual,solver_substeps
0.005,0.0,0.059877375,0.0,-0.04905,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02943,0.0,0.0,0,0,0,0.0,1
0.01,0.0,0.0595095,0.0,-0.0981,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02943,0.0,0.0,0,0,0,0.0,1
0.015,0.0,0.058896375,0.0,-0.14715,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02943,0.0,0.0,0,0,0,4.336808689942019e-19,1
0.02,0.0,0.058038,0.0,-0.1962,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02943,0.0,0.0,0,0,0,4.336808689942019e-19,1
0.025,0.0,0.056934375,0.0,-0.24525,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02943,3.469446951953614e-18,0.0,0,0,0,4.336808689942019e-19,1
0.03,0.0,0.0555855,0.0,-0.2943,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02943,0.0,0.0,0,0,0,8.673617379884035e-19,1
0.035,0.0,0.053991375,0.0,-0.34335,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02943,3.469446951953614e-18,0.0,0,0,0,8.673617379884035e-19,1
0.04,0.0,0.052152,0.0,-0.3923999999999999,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02943,3.469446951953614e-18,0.0,0,0,0,8.673617379884035e-19,1
0.045,0.0,0.050067375,0.0,-0.4414499999999999,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02943,3.469446951953614e-18,0.0,0,0,0,8.673617379884035e-19,1
0.05,9.015589628497116e-21,0.0478552180486827,3.606235851398847e-18,-0.4434127805268881,-8.002300027311667e-18,1.2411271681118126e-38,-1.2251001961641662e-13,0.0021447819513172,1,0.93054510827325,1.4250137463964688e-16,7.37257477290143e-18,3.469446951953614e-18,1.2868691707903266,0.0,0.0297683836868523,0.0003383836868523,0.0,30,20,20,3.3103246477263216e-10,1
0.055,2.9615872739550885e-19,0.0458639166849198,1.1125101925540582e-16,-0.3531077649783075,7.403212755992504e-14,-1.0990726527930873e-29,-8.68224053717111e-13,0.0041360833150801,1,1.829339988877126,2.5512476956191424e-15,8.414750032627943e-17,2.4286128663675302e-17,2.481649989048118,0.0,0.0307455340329379,0.0013155340329379,0.0,30,20,20,7.545193404963348e-09,1
0.06,2.155201021012277e-18,0.0445036422478614,6.323658981913015e-16,-0.1910020098450557,8.30975224141624e-14,-1.240528305048859e-28,-8.539543500335309e-13,0.0054963577521386,1,2.4261292637831264,8.627402044219061e-15,3.109682354103662e-16,6.158268339717665e-17,3.297814651283161,0.0,0.0318040652785455,0.0023740652785455,0.0,30,20,20,3.375508553227222e-11,1
