delta,Fy,ideal_Fy,rel_err_Fy,raw_support_area,prior_support_area,total_sheet_area,patch_radius,area_prior_control
0.002,0.8690376934023752,1.2,0.2758019221646873,0.029362500000000014,0.03,0.02202187500000001,0.12116620816052637,0
0.004,1.7669240404121258,2.4,0.2637816498282809,0.029362500000000014,0.03,0.02202187500000001,0.12116620816052637,0
0.006,2.6475653707008755,3.6,0.2645651748053124,0.029362500000000014,0.03,0.02202187500000001,0.12116620816052637,0
0.008,3.5102519958735017,4.8,0.26869750085968713,0.029362500000000014,0.03,0.02202187500000001,0.12116620816052637,0
0.01,4.417151832016876,6.0,0.2638080279971873,0.029362500000000014,0.03,0.02202187500000001,0.12116620816052637,0
0.012,5.2739484697653785,7.2,0.2675071569770308,0.029362500000000014,0.03,0.02202187500000001,0.12116620816052637,0
0.014,6.174958318484629,8.4,0.26488591446611565,0.029362500000000014,0.03,0.02202187500000001,0.12116620816052637,0
0.016,7.056594083535753,9.6,0.26493811629835906,0.029362500000000014,0.03,0.02202187500000001,0.12116620816052637,0
0.018000000000000002,7.918146073881002,10.8,0.2668383264924999,0.029362500000000014,0.03,0.02202187500000001,0.12116620816052637,0
0.02,8.824147838582629,12.0,0.2646543467847809,0.029362500000000014,0.03,0.02202187500000001,0.12116620816052637,0
