delta,Fy,ideal_Fy,rel_err_Fy,raw_support_area,prior_support_area,total_sheet_area,patch_radius,area_prior_control
0.002,1.1838742523999999,1.2,0.013438123000000062,0.029362500000000014,0.03,0.03,0.12116620816052637,1
0.004,2.4070485012000002,2.4,0.0029368755000001396,0.029362500000000014,0.03,0.03,0.12116620816052637,1
0.006,3.6067301771999998,3.6,0.0018694936666665799,0.029362500000000014,0.03,0.03,0.12116620816052637,1
0.008,4.781952484800001,4.8,0.0037598989999998444,0.029362500000000014,0.03,0.03,0.12116620816052637,1
0.01,6.017405645999999,6.0,0.002900940999999898,0.029362500000000014,0.03,0.03,0.12116620816052637,1
0.012,7.184604130800001,7.2,0.0021383151666665157,0.029362500000000014,0.03,0.03,0.12116620816052637,1
0.014,8.4120334692,8.4,0.001432555857142901,0.029362500000000014,0.03,0.03,0.12116620816052637,1
0.016,9.613069845599998,9.6,0.0013614422499998633,0.029362500000000014,0.03,0.03,0.12116620816052637,1
0.018000000000000002,10.7867464608,10.8,0.0012271795555556324,0.029362500000000014,0.03,0.03,0.12116620816052637,1
0.02,12.020976195599998,12.0,0.0017480162999998032,0.029362500000000014,0.03,0.03,0.12116620816052637,1
