time,x,y,vx,vy,delta,contact_active,Fy,F_lateral_norm,body_moment_norm,ground_Mz,static_Fy_at_delta,static_ground_Mz_at_delta,total_energy,energy_minus_initial,x_ref,solver_final_residual_norm,solver_newton_iters
0.005,0.0,0.059877375000000004,0.0,-0.04905,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029430000000000005,0.0,0.0,0.0,1
0.01,0.0,0.05950950000000001,0.0,-0.0981,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029430000000000005,0.0,0.0,0.0,1
0.015,0.0,0.05889637500000001,0.0,-0.14715,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029430000000000005,0.0,0.0,4.336808689942018e-19,1
0.02,0.0,0.058038000000000006,0.0,-0.1962,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029430000000000005,0.0,0.0,4.336808689942018e-19,1
0.025,0.0,0.05693437500000001,0.0,-0.24525000000000002,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029430000000000008,3.469446951953614e-18,0.0,4.336808689942018e-19,1
0.03,0.0,0.05558550000000001,0.0,-0.2943,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029430000000000005,0.0,0.0,8.673617379884035e-19,1
0.035,0.0,0.05399137500000001,0.0,-0.34335,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029430000000000008,3.469446951953614e-18,0.0,8.673617379884035e-19,1
0.04,0.0,0.05215200000000001,0.0,-0.39239999999999997,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029430000000000008,3.469446951953614e-18,0.0,8.673617379884035e-19,1
0.045,0.0,0.05006737500000001,0.0,-0.44144999999999995,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029430000000000008,3.469446951953614e-18,0.0,8.673617379884035e-19,1
0.05,-5.388804589194142e-22,0.047855218025380064,-2.1555218356776568e-19,-0.4434127898479801,0.0021447819746199387,1,0.9305451082732501,1.222236749939278e-17,3.469446951953614e-18,3.469446951953614e-18,1.2868691847719633,0.0,0.02976838391206453,0.0003383839120645257,0.0,1.3502213291936935e-10,2
0.055,-1.534359170216495e-20,0.04586391628642654,-5.706332313730449e-18,-0.353107905733431,0.004136083713573463,1,1.8293399915197506,1.5345772007232797e-16,3.878959614448864e-18,-1.734723475976807e-18,2.481650228144078,0.0,0.030745537311484755,0.0013155373114847498,0.0,9.690874543805128e-10,2
0.06,-1.0788881677453454e-19,0.04450364114857144,-3.1311757715217385e-17,-0.1910021494086072,0.005496358851428559,1,2.426129273472751,4.908530601209093e-16,2.343482367555115e-17,-1.734723475976807e-18,3.2978153108571355,0.0,0.03180406969744512,0.002374069697445115,0.0,6.690743271919875e-11,3
0.065,-4.1765582373756573e-19,0.04405625638893229,-9.259504506999508e-17,0.01204824555294696,0.005943743611067712,1,2.6160374230290016,7.599107941415693e-16,2.0888836804026048e-17,4.336808689942018e-18,3.566246166640627,0.0,0.032211649198526364,0.002781649198526359,0.0,1.1494542644097122e-10,2
0.07,-1.059716327436027e-18,0.044616256462696305,-1.642291564093894e-16,0.21195178395265912,0.005383743537303698,1,2.3632980585108765,7.238882831257065e-16,3.1031676915590914e-17,7.806255641895632e-18,3.2302461223822188,0.0,0.03170277110560821,0.0022727711056082026,0.0,5.92294354187506e-10,2
0.075,-1.9535715431673175e-18,0.0460655579620336,-1.933129298831268e-16,0.36776881578225756,0.003934442037966404,1,1.7357568084101251,6.030286466315434e-16,3.1372247449879723e-17,-9.974659986866641e-18,2.3606652227798426,0.0,0.030620453971959755,0.0011904539719597498,0.0,6.16317908166964e-11,2
0.08,-2.9298275634890888e-18,0.04809926329302254,-1.9718947824558183e-16,0.4457133166133193,0.0019007367069774628,1,0.8382222643770003,3.877523196589617e-16,1.7112543723153736e-17,2.6020852139652106e-18,1.1404420241864777,0.0,0.029643037669164145,0.00021303766916414002,0.0,8.337107046396675e-13,3
0.085,-3.9086393489815246e-18,0.050292464293085454,-1.9433523595139242e-16,0.4315670834118476,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02932470742287363,-0.00010529257712637435,0.0,2.5296712532867086e-11,3
0.09,-4.8803155287384866e-18,0.05232767471014469,-1.9433523595139242e-16,0.3825170834118476,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02932470742287363,-0.00010529257712637435,0.0,8.673617379884035e-19,1
0.095,-5.8519917084954485e-18,0.05411763512720393,-1.9433523595139242e-16,0.3334670834118476,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029324707422873634,-0.00010529257712637088,0.0,8.673617379884035e-19,1
